resistance,ductility,period,deformation
"0,30",3,"0,2769","1,715"
"0,30",2,"0,1111","0,184"
"0,30",2,"0,1422","0,301"
"0,30",3,"0,3133","2,195"
"0,30",3,"0,5954","7,928"
"0,30",2,"0,4427","2,922"
"0,45",2,"0,1649","0,608"
"0,45",2,"0,2009","0,903"
"0,45",2,"0,2330","1,214"
"0,45",2,"0,1966","0,865"
"0,45",3,"0,4319","6,258"
"0,30",2,"0,3352","1,675"
"0,30",2,"0,2535","0,958"
"0,30",2,"0,3199","1,526"
"0,45",3,"0,5857","11,508"
"0,45",3,"0,4427","6,575"
"0,45",3,"0,5529","10,254"
"0,30",2,"0,1820","0,494"
"0,30",2,"0,1494","0,333"
"0,30",2,"0,2636","1,036"
