PM10,PM25,TVOC,CO2,RISK
10,6,0,400,Low
10,6,0,400,Low
10,6,7,415,Low
10,6,22,400,Low
10,6,0,433,Low
10,6,53,406,Low
10,6,73,448,Moderate
10,6,24,452,Low
10,6,54,463,Low
10,6,54,400,Low
10,6,64,400,Low
10,6,36,427,Low
10,6,53,464,Low
10,6,49,437,Low
10,6,52,400,Low
10,6,4,473,Low
10,6,25,440,Low
10,6,32,417,Low
10,6,16,400,Low
10,6,0,435,Low
10,6,37,436,Low
10,6,61,446,Low
10,6,43,417,Low
10,6,56,409,Low
10,6,44,448,Low
10,6,83,454,Moderate
10,6,9,545,Low
10,6,61,436,Low
10,6,47,411,Low
10,6,30,400,Low
10,6,79,456,Moderate
10,6,118,427,Moderate
10,6,47,447,Low
10,6,17,451,Low
10,6,16,468,Low
10,6,86,418,Moderate
10,6,37,408,Low
10,6,69,400,Moderate
10,6,18,507,Low
10,6,102,478,Moderate
10,6,56,508,Low
10,6,59,413,Low
10,6,59,400,Low
10,6,24,472,Low
10,6,36,400,Low
10,6,11,487,Low
10,6,99,445,Moderate
10,6,30,467,Low
10,6,29,505,Low
10,6,93,494,Moderate
10,6,83,454,Moderate
10,6,34,496,Low
10,6,42,458,Low
10,6,49,532,Low
10,6,76,450,Moderate
10,6,52,459,Low
10,6,34,418,Low
10,6,23,463,Low
10,6,0,473,Low
10,6,50,461,Low
10,6,64,440,Low
10,6,11,443,Low
10,6,49,400,Low
10,6,54,492,Low
10,6,10,485,Low
10,6,38,415,Low
10,6,39,510,Low
10,6,29,419,Low
10,6,56,545,Low
10,6,28,500,Low
10,6,52,526,Low
10,6,30,415,Low
10,6,61,508,Low
10,6,78,421,Moderate
10,6,36,491,Low
10,6,29,474,Low
10,6,58,468,Low
10,6,45,452,Low
10,6,32,410,Low
10,6,32,452,Low
10,6,0,469,Low
10,6,107,473,Moderate
10,6,27,461,Low
10,6,7,407,Low
10,6,50,461,Low
10,6,47,477,Low
10,6,74,400,Moderate
